0.233,0.166,0.237,0.156,0.209,0.231,0.245,0.222,0.289,0.139,0.149,0.243
0.229,-0.045,-0.06,0.022,-0.018,0.114,0.146,0.012,0.033,-0.12,-0.154,-0.268
-0.206,-0.299,-0.056,0.226,0.104,-0.025,-0.146,-0.057,0.085,0.162,0.289,0.136
-0.119,-0.106,0.074,0.163,0.1,-0.088,-0.167,0.077,0.094,0.142,0.073,0.096
0.129,-0.099,0.074,-0.056,0.183,0.317,0.243,0.053,0.008,0.123,0.006,0.155
0.014,-0.096,0.007,0.261,0.208,0.305,0.427,0.315,0.272,0.227,0.229,0.128
-0.015,-0.151,-0.06,-0.113,-0.169,-0.032,-0.281,-0.255,-0.244,-0.253,-0.34,-0.346
-0.134,-0.032,0.04,0.062,0.036,-0.03,-0.282,-0.288,-0.146,-0.222,-0.166,-0.104
-0.193,-0.343,-0.169,-0.023,0.084,0.127,0.273,0.359,0.207,0.137,0.199,0.2
0.199,0.26,0.173,0.069,0.038,0.208,0.129,0.049,0.293,0.259,0.224,0.224
0.057,0.184,0.219,0.138,0.181,0.357,0.287,0.265,0.154,0.147,0.273,0.282
0.317,0.29,0.392,0.301,0.163,0.094,0.113,0.076,0.008,-0.022,0.119,-0.047
0.068,0.137,0.208,0.267,0.193,0.332,0.412,0.209,0.152,-0.107,-0.05,0.129
-0.108,0.098,0.083,0.251,0.288,0.221,0.287,0.141,0.1,0,-0.039,-0.081
-0.153,0.015,-0.037,-0.163,-0.024,-0.006,-0.034,0.105,0.156,0.163,0.179,0.114
-0.131,-0.113,0.135,0.185,0.148,0.137,0.177,0.063,-0.082,-0.142,0.001,0.091
-0.065,-0.049,-0.08,-0.069,0.181,0.222,0.289,0.389,0.421,0.052,-0.029,-0.047
0.058,0.009,0.046,0.05,-0.044,-0.035,0.089,0.049,0.15,0.086,0.066,0.144
0.055,-0.108,-0.115,-0.086,0.02,0.167,0.104,-0.009,0.185,-0.036,-0.054,-0.286
-0.162,0.071,0.04,0.022,0.168,0.174,0.008,0.095,0.143,0.075,-0.055,-0.072
-0.201,-0.071,-0.087,-0.066,-0.067,-0.001,0.12,0.179,0.153,-0.05,-0.077,-0.013
0.011,0.162,0.246,0.151,0.261,0.33,0.306,0.369,0.269,0.239,0.307,0.325
0.248,0.341,0.351,0.65,0.531,0.633,0.427,0.593,0.554,0.325,0.379,0.477
0.329,0.385,0.026,0.043,0.251,0.182,0.09,0.022,-0.017,0.067,0.074,0.124
0.083,0.01,0.095,-0.032,-0.133,-0.006,0.124,0.108,0.261,0.236,0.154,-0.079
0.175,0.13,0.197,0.227,0.12,0.127,0.014,0.052,-0.016,-0.063,-0.299,-0.088
-0.124,-0.091,-0.026,-0.121,-0.124,0.007,0.068,0.077,0.049,-0.008,0.022,0.025
-0.04,-0.156,-0.145,0.036,0.042,-0.021,-0.036,0.027,-0.082,-0.104,0.003,0.144
0.042,-0.133,-0.099,-0.052,-0.038,0.147,-0.02,0.002,-0.14,-0.133,-0.329,-0.102
-0.054,0.058,-0.021,-0.237,-0.153,-0.118,-0.011,0.127,0.048,0.047,0.026,0.048
0.145,0.141,0.198,0.222,0.249,0.218,0.261,0.079,0.017,-0.004,0.001,-0.004
-0.083,-0.071,-0.007,-0.049,0.061,0.236,0.355,0.221,0.174,0.258,0.202,0.204
0.256,0.193,0.278,0.145,0.152,0.275,0.21,0.169,0.172,0.278,0.151,0.102
0.26,0.267,0.342,0.322,0.323,0.235,0.085,0.105,0.113,0.113,0.187,0.06
0.04,0.024,-0.03,-0.145,-0.137,-0.093,-0.246,-0.291,-0.25,-0.073,-0.262,-0.238
-0.266,-0.075,0.085,0.121,0.189,0.174,0.253,0.111,0.018,0.036,-0.228,0.029
0.073,0.133,0.106,0.015,-0.118,-0.136,-0.241,-0.096,-0.203,-0.171,-0.266,-0.167
-0.092,-0.044,-0.032,-0.144,-0.125,0.136,0.189,0.173,0.061,-0.049,0.034,-0.146
-0.137,-0.156,-0.175,-0.272,-0.347,-0.313,-0.215,-0.226,-0.215,-0.325,-0.302,-0.217
-0.105,-0.073,-0.252,-0.28,-0.195,-0.096,-0.062,-0.084,0.085,0.083,-0.097,-0.039
-0.056,0.044,-0.029,0.058,0.268,0.2,0.112,0.091,0.324,0.168,0.055,0.065
0.088,0.141,0.312,0.256,0.171,0.107,0.105,0.026,0.055,0.084,-0.006,-0.005
-0.008,0.065,0.115,0.069,0.098,0.217,0.224,0.147,0.113,-0.02,-0.122,0.008
-0.058,-0.044,-0.001,0.093,0.21,0.195,0.119,0.277,0.137,0.099,0.208,0.307
0.216,0.211,0.07,0.173,0.006,0.009,0.101,0.008,0.058,0.125,0.053,0.145
0.058,0.195,0.168,0.16,0.09,0.227,0.193,0.191,0.012,-0.099,-0.07,-0.057
-0.108,-0.024,-0.015,-0.141,-0.082,-0.243,-0.283,-0.163,0.008,0.025,-0.108,-0.078
-0.034,0.061,-0.05,-0.061,-0.137,-0.168,-0.156,-0.437,-0.449,-0.359,-0.232,-0.285
-0.345,-0.367,-0.373,-0.416,-0.391,-0.423,-0.331,-0.342,-0.472,-0.364,-0.193,-0.148
-0.219,-0.177,-0.354,-0.167,-0.057,-0.167,-0.049,-0.137,-0.351,-0.246,-0.263,-0.24
-0.067,-0.027,-0.048,-0.04,-0.155,0.012,-0.002,-0.06,-0.115,-0.137,-0.014,-0.221
-0.182,-0.345,-0.251,-0.157,-0.145,-0.25,-0.277,-0.312,-0.174,-0.216,-0.224,-0.187
-0.228,-0.23,-0.237,-0.206,-0.16,-0.061,0.027,0.011,-0.086,-0.118,-0.152,-0.119
-0.102,-0.14,-0.099,-0.146,-0.004,-0.126,-0.165,-0.081,-0.112,-0.149,-0.289,-0.232
-0.305,-0.249,-0.258,-0.308,-0.339,-0.359,-0.287,-0.257,-0.104,-0.188,-0.076,-0.24
-0.251,-0.251,-0.306,-0.318,-0.342,-0.237,-0.166,-0.063,-0.117,-0.112,-0.229,-0.171
-0.235,-0.258,-0.217,-0.167,-0.114,-0.149,-0.256,-0.393,-0.243,-0.249,-0.221,-0.234
-0.306,-0.211,-0.224,-0.44,-0.448,-0.565,-0.438,-0.434,-0.427,-0.381,-0.455,-0.326
-0.223,-0.318,-0.405,-0.384,-0.263,-0.377,-0.431,-0.37,-0.188,-0.113,-0.184,-0.228
-0.128,-0.116,-0.004,0.052,0.262,0.294,0.317,0.212,0.197,0.029,-0.006,0.011
-0.039,-0.099,-0.093,-0.118,0.02,0.029,-0.075,-0.017,-0.004,-0.075,-0.24,-0.208
-0.294,-0.35,-0.402,-0.306,-0.253,-0.152,-0.209,-0.192,-0.282,-0.341,-0.319,-0.259
-0.101,-0.175,-0.117,-0.178,-0.239,-0.419,-0.367,-0.391,-0.365,-0.258,-0.299,-0.224
-0.226,-0.059,-0.192,-0.056,-0.165,-0.222,-0.283,-0.191,-0.192,-0.143,-0.227,-0.29
-0.461,-0.403,-0.451,-0.334,-0.252,-0.281,-0.275,-0.303,-0.276,-0.267,-0.427,-0.303
-0.29,-0.273,-0.317,-0.264,-0.25,-0.247,-0.108,-0.246,-0.225,-0.054,-0.262,-0.12
-0.205,-0.242,-0.34,-0.41,-0.317,-0.331,-0.376,-0.308,-0.367,-0.286,-0.351,-0.324
-0.363,-0.46,-0.404,-0.429,-0.28,-0.313,-0.321,-0.425,-0.369,-0.264,-0.215,-0.061
-0.131,-0.199,-0.104,-0.057,0.045,-0.097,-0.126,-0.137,-0.204,-0.236,-0.316,-0.287
-0.326,-0.31,-0.238,-0.18,-0.078,-0.19,-0.145,-0.132,-0.12,-0.087,-0.172,0.046
0.034,0.107,0.046,0.108,0.125,0.068,0.14,0.051,0.041,0.176,0.025,0.088
0.079,0.075,0.039,0.067,0.191,0.153,0.154,0.156,0.104,0.172,0.136,-0.025
-0.047,-0.096,-0.095,-0.1,0.016,0.065,0.085,0.101,0.087,0.04,-0.053,-0.092
-0.089,-0.101,-0.091,-0.016,-0.111,-0.193,-0.18,-0.156,-0.066,-0.055,-0.115,-0.186
-0.124,-0.176,-0.095,-0.211,-0.112,-0.081,0.059,0.068,0.287,0.201,0.152,0.142
0.114,0.065,0.147,0.15,0.224,0.268,0.193,0.15,0.263,0.318,0.058,0.171
0.175,0.229,0.246,0.211,0.153,0.243,0.27,0.386,0.335,0.237,0.136,0.094
0.087,0.156,0.09,0.21,0.291,0.243,0.279,0.28,0.242,0.33,0.079,0.001
-0.112,-0.19,-0.212,-0.094,-0.113,0.033,0.17,0.079,0.141,0.169,0.016,-0.005
0.042,-0.136,-0.151,0.053,0.14,0.108,0.062,0.004,-0.038,-0.019,0.019,0.1
0.136,0.144,0.192,0.195,0.166,0.192,0.193,0.212,0.172,0.102,0.018,0.046
0.053,0.084,0.097,0.068,0.129,0.449,0.61,0.59,0.506,0.295,0.254,0.351
0.209,0.15,0.198,0.235,0.201,0.166,0.203,0.296,0.307,0.353,0.317,0.217
0.133,0.077,-0.034,0.093,0.104,0.175,0.323,0.321,0.298,0.008,-0.154,-0.081
0.06,-0.195,-0.146,-0.034,0,0.012,0.095,0.104,0.023,-0.051,-0.133,-0.14
-0.063,0.094,0.13,0.063,0.036,-0.02,0.087,0.277,0.303,0.414,0.391,0.325
0.134,0.197,0.191,0.203,0.207,0.258,0.099,0.144,0.222,0.202,0.195,0.09
0.128,0.095,-0.104,-0.137,-0.125,-0.077,0.015,0.015,0.075,0.079,0.142,0.227
0.3,0.317,0.422,0.314,0.291,0.347,0.361,0.443,0.417,0.366,0.272,0.273
0.259,0.349,0.365,0.411,0.309,0.174,0.084,0.107,0.085,0.102,0.185,0.138
0.277,0.191,0.132,0.062,0.09,-0.1,-0.204,-0.164,-0.017,-0.015,-0.064,-0.034
-0.173,-0.127,-0.091,-0.096,-0.154,-0.152,-0.156,-0.099,-0.05,-0.089,0.048,0.035
-0.015,-0.027,0.029,-0.069,-0.003,0.056,-0.039,-0.022,-0.052,0.008,0.135,0.063
0.154,0.161,0.039,0.1,-0.023,0.002,0.072,0.103,0.071,0.105,0.109,0.119
0.112,-0.033,-0.105,-0.129,-0.057,-0.042,-0.054,0.021,0.011,-0.089,0.081,0.089
0.104,-0.001,0.013,0.17,0.173,0.29,0.423,0.304,0.25,0.26,0.176,0.176
0.173,0.183,0.231,0.192,0.181,0.384,0.373,0.404,0.363,0.355,0.251,0.341
0.266,0.186,0.142,0.314,0.343,0.276,0.344,0.259,0.281,0.149,0.245,0.259
0.228,0.096,0.101,-0.013,0.07,0.1,-0.044,-0.014,-0.01,-0.032,-0.026,-0.051
0.076,0.041,0.042,0.096,0.177,0.194,0.269,0.175,0.203,0.28,0.387,0.257
0.187,0.095,0.014,0.064,-0.057,-0.264,-0.09,-0.098,-0.089,-0.042,-0.086,0.019
-0.08,-0.106,-0.019,-0.073,-0.121,-0.012,0.04,0.202,0.221,0.15,0.084,0.079
0.049,0.189,0.344,0.346,0.202,0.222,0.164,0.161,0.212,0.152,0.185,0.219
0.1,0.114,-0.027,-0.004,0.007,-0.059,-0.032,0.012,0.125,0.112,0.051,0.109
0.176,0.216,0.088,0.097,0.302,0.319,0.27,0.335,0.211,0.296,0.25,0.137
0.06,0.081,0.148,0.226,0.193,0.032,-0.019,0.035,0.002,0.029,0.067,0.213
0.148,0.151,0.165,0.087,0.022,-0.072,-0.009,-0.064,0.003,0.065,0.045,0.189
0.156,0.165,0.133,0.103,-0.086,-0.048,-0.037,-0.074,-0.203,-0.072,-0.058,-0.061
-0.076,0.02,0.038,-0.147,0.04,0.003,-0.145,-0.235,-0.221,-0.272,-0.167,-0.122
